MITRE Enterprise ATT&CK v8.2,NIST CSF,CIS Controls v8
T1200,PR.DS-3,1
T1200,ID.AM-1,1
T1552.002,PR.AC-4,2
T1087.004,PR.AC-4,2
T1580,PR.AC-4,2
T1538,PR.AC-4,2
T1543,PR.AC-4,2
T1543.002,PR.AC-4,2
T1530,PR.AC-4,2
T1213,PR.AC-4,2
T1003.008,PR.AC-4,2
T1003.007,PR.AC-4,2
T1213.001,PR.AC-4,2
T1213.002,PR.AC-4,2
T1562,PR.AC-4,2
T1562.001,PR.AC-4,2
T1562.002,PR.AC-4,2
T1562.004,PR.AC-4,2
T1562.006,PR.AC-4,2
T1562.007,PR.AC-4,2
T1562.008,PR.AC-4,2
T1185,PR.AC-4,2
T1053.006,PR.AC-4,2
T1528,PR.AC-4,2
T1537,PR.AC-4,2
T1548,PR.AC-4,2
T1548.003,PR.AC-4,2
T1098.004,PR.AC-4,2
T1547.003,PR.AC-4,2
T1547.011,PR.AC-4,2
T1037,PR.AC-4,2
T1037.002,PR.AC-4,2
T1037.003,PR.AC-4,2
T1037.005,PR.AC-4,2
T1037.004,PR.AC-4,2
T1565,PR.AC-4,2
T1565.001,PR.AC-4,2
T1565.003,PR.AC-4,2
T1546.004,PR.AC-4,2
T1222,PR.AC-4,2
T1222.001,PR.AC-4,2
T1222.002,PR.AC-4,2
T1564.004,PR.AC-4,2
T1070,PR.AC-4,2
T1070.001,PR.AC-4,2
T1070.002,PR.AC-4,2
T1070.003,PR.AC-4,2
T1036,PR.AC-4,2
T1036.003,PR.AC-4,2
T1036.005,PR.AC-4,2
T1055.009,PR.AC-4,2
T1553.003,PR.AC-4,2
T1080,PR.AC-4,2
T1552,PR.AC-4,2
T1552.001,PR.AC-4,2
T1098.001,PR.AC-4,2
T1098.003,PR.AC-4,2
T1098.002,PR.AC-4,2
T1098,PR.AC-4,2
T1552.004,PR.AC-4,2
T1119,PR.DS-1,3
T1530,PR.DS-1,3
T1565,PR.DS-1,3
T1565.001,PR.DS-1,3
T1070,PR.DS-1,3
T1070.001,PR.DS-1,3
T1550.001,PR.DS-1,3
T1552.004,PR.DS-1,3
T1552,PR.DS-1,3
T1003.003,PR.DS-1,3
T1003,PR.DS-1,3
T1070.002,PR.DS-1,3
T1134.005,PR.IP-1,4
